year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors
2014,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,430927
2014,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,264987
2014,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,10099276
2014,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,82377
2014,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,87774
2014,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,430517
2014,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,173261
2013,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,12877368
2013,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2214565
2013,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,416568
2013,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,263598
2013,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,9354695
2013,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,81710
2013,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,72330
2013,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,447796
2013,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,541581
2012,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,15205059
2012,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2302040
2012,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,480294
2012,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,281833
2012,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,9685829
2012,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,93429
2012,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,79345
2012,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,466816
2012,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,313374
2011,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,15382447
2011,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,1960711
2011,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,508116
2011,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,282134
2011,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,9008830
2011,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,89721
2011,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,58118
2011,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,445455
2011,986193,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/GUCO_metadata.xml,1,Guilford Courthouse,SE,NC,GUCO,Guilford Courthouse National Military Park,National Military Park,346617
2010,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,14517118
2010,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,2193292
2010,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,530181
2010,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,305711
2010,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,9463538
2010,1006677,POLYGON,http://nrdata.nps.gov/programs/Lands/CARL_metadata.xml,1,Carl Sandburg Home,SE,NC,CARL,Carl Sandburg Home National Historic Site,National Historic Site,86740
2010,1025558,POLYGON,http://nrdata.nps.gov/programs/Lands/MOCR_metadata.xml,1,Moores Creek,SE,NC,MOCR,Moores Creek National Battlefield,National Battlefield,51326
2010,1027483,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WRBR_metadata.xml,1,Wright Brothers,SE,NC,WRBR,Wright Brothers National Memorial,National Memorial,476200
